lakeid,year,daynum,sampledate,item,value,layer,lastice
AL,1982,278,1982-10-05,drsif,13848.72,surf,1982-05-01
AL,1982,278,1982-10-05,nh4,14,surf,1982-05-01
AL,1982,278,1982-10-05,no3no2,9,surf,1982-05-01
AL,1982,278,1982-10-05,ph,7.65,surf,1982-05-01
AL,1982,295,1982-10-22,drsif,13869.239999999998,surf,1982-05-01
AL,1982,295,1982-10-22,nh4,35,surf,1982-05-01
AL,1982,295,1982-10-22,no3no2,18,surf,1982-05-01
AL,1982,295,1982-10-22,ph,7.28,surf,1982-05-01
AL,1982,312,1982-11-08,drsif,13748.4,surf,1982-05-01
AL,1982,312,1982-11-08,nh4,10,surf,1982-05-01
AL,1982,312,1982-11-08,no3no2,22,surf,1982-05-01
AL,1982,312,1982-11-08,ph,7.32,surf,1982-05-01
AL,1982,334,1982-11-30,ph,7.33,surf,1982-05-01
AL,1983,130,1983-05-10,drsif,14614.8,surf,1983-04-27
AL,1983,130,1983-05-10,nh4,17.5,surf,1983-04-27
AL,1983,130,1983-05-10,no3no2,7,surf,1983-04-27
AL,1983,130,1983-05-10,ph,7.43,surf,1983-04-27
AL,1983,145,1983-05-25,drsif,13511.279999999999,surf,1983-04-27
AL,1983,145,1983-05-25,nh4,0,surf,1983-04-27
AL,1983,145,1983-05-25,no3no2,0,surf,1983-04-27
AL,1983,145,1983-05-25,ph,7.41,surf,1983-04-27
AL,1983,159,1983-06-08,drsif,12942.419999999998,surf,1983-04-27
AL,1983,159,1983-06-08,nh4,6.5,surf,1983-04-27
AL,1983,159,1983-06-08,no3no2,0,surf,1983-04-27
AL,1983,159,1983-06-08,ph,7.345000000000001,surf,1983-04-27
AL,1983,173,1983-06-22,drsif,11320.199999999999,surf,1983-04-27
AL,1983,173,1983-06-22,nh4,25,surf,1983-04-27
AL,1983,173,1983-06-22,no3no2,9,surf,1983-04-27
AL,1983,173,1983-06-22,ph,7.72,surf,1983-04-27
AL,1983,186,1983-07-05,nh4,19,surf,1983-04-27
AL,1983,186,1983-07-05,no3no2,0,surf,1983-04-27
AL,1983,186,1983-07-05,ph,7.63,surf,1983-04-27
AL,1983,201,1983-07-20,drsif,10786.679999999998,surf,1983-04-27
AL,1983,201,1983-07-20,nh4,0,surf,1983-04-27
AL,1983,201,1983-07-20,no3no2,0,surf,1983-04-27
AL,1983,201,1983-07-20,ph,7.99,surf,1983-04-27
AL,1983,216,1983-08-04,nh4,0,surf,1983-04-27
AL,1983,216,1983-08-04,no3no2,0,surf,1983-04-27
AL,1983,216,1983-08-04,ph,8.07,surf,1983-04-27
AL,1983,227,1983-08-15,drsif,12305.16,surf,1983-04-27
AL,1983,227,1983-08-15,nh4,10,surf,1983-04-27
AL,1983,227,1983-08-15,no3no2,3,surf,1983-04-27
AL,1983,227,1983-08-15,ph,8.15,surf,1983-04-27
AL,1983,252,1983-09-09,drsif,13838.46,surf,1983-04-27
AL,1983,252,1983-09-09,nh4,21.5,surf,1983-04-27
AL,1983,252,1983-09-09,no3no2,0,surf,1983-04-27
AL,1983,252,1983-09-09,ph,7.84,surf,1983-04-27
AL,1983,272,1983-09-29,drsif,15273.72,surf,1983-04-27
AL,1983,272,1983-09-29,nh4,0,surf,1983-04-27
AL,1983,272,1983-09-29,no3no2,0,surf,1983-04-27
AL,1983,272,1983-09-29,ph,8.24,surf,1983-04-27
AL,1983,291,1983-10-18,drsif,15973.679999999998,surf,1983-04-27
AL,1983,291,1983-10-18,nh4,98,surf,1983-04-27
AL,1983,291,1983-10-18,no3no2,27,surf,1983-04-27
AL,1983,291,1983-10-18,ph,7.31,surf,1983-04-27
AL,1983,320,1983-11-16,drsif,15262.32,surf,1983-04-27
AL,1983,320,1983-11-16,nh4,19.5,surf,1983-04-27
AL,1983,320,1983-11-16,no3no2,52,surf,1983-04-27
AL,1983,320,1983-11-16,ph,7.56,surf,1983-04-27
AL,1984,130,1984-05-09,drsif,14227.199999999999,surf,1984-04-21
AL,1984,130,1984-05-09,nh4,17,surf,1984-04-21
AL,1984,130,1984-05-09,no3no2,8,surf,1984-04-21
AL,1984,130,1984-05-09,ph,7.49,surf,1984-04-21
AL,1984,144,1984-05-23,drsif,12407.759999999998,surf,1984-04-21
AL,1984,144,1984-05-23,nh4,26,surf,1984-04-21
AL,1984,144,1984-05-23,no3no2,0,surf,1984-04-21
AL,1984,144,1984-05-23,ph,7.74,surf,1984-04-21
AL,1984,157,1984-06-05,drsif,10980.48,surf,1984-04-21
AL,1984,157,1984-06-05,nh4,79,surf,1984-04-21
AL,1984,157,1984-06-05,no3no2,2,surf,1984-04-21
AL,1984,157,1984-06-05,ph,8.03,surf,1984-04-21
AL,1984,173,1984-06-21,drsif,9288.72,surf,1984-04-21
AL,1984,173,1984-06-21,nh4,16,surf,1984-04-21
AL,1984,173,1984-06-21,no3no2,2,surf,1984-04-21
AL,1984,173,1984-06-21,ph,8.04,surf,1984-04-21
AL,1984,185,1984-07-03,drsif,9888.359999999999,surf,1984-04-21
AL,1984,185,1984-07-03,nh4,63,surf,1984-04-21
AL,1984,185,1984-07-03,no3no2,0,surf,1984-04-21
AL,1984,185,1984-07-03,ph,8.16,surf,1984-04-21
AL,1984,200,1984-07-18,drsif,10982.759999999998,surf,1984-04-21
AL,1984,200,1984-07-18,nh4,43,surf,1984-04-21
AL,1984,200,1984-07-18,no3no2,2,surf,1984-04-21
AL,1984,200,1984-07-18,ph,7.81,surf,1984-04-21
AL,1984,215,1984-08-02,drsif,11372.64,surf,1984-04-21
AL,1984,215,1984-08-02,nh4,28,surf,1984-04-21
AL,1984,215,1984-08-02,no3no2,0,surf,1984-04-21
AL,1984,215,1984-08-02,ph,8.52,surf,1984-04-21
AL,1984,227,1984-08-14,drsif,11951.759999999998,surf,1984-04-21
AL,1984,227,1984-08-14,nh4,38,surf,1984-04-21
AL,1984,227,1984-08-14,no3no2,0,surf,1984-04-21
AL,1984,227,1984-08-14,ph,8.545,surf,1984-04-21
AL,1984,250,1984-09-06,drsif,13949.039999999997,surf,1984-04-21
AL,1984,250,1984-09-06,nh4,24.5,surf,1984-04-21
AL,1984,250,1984-09-06,no3no2,3.5,surf,1984-04-21
AL,1984,250,1984-09-06,ph,7.775,surf,1984-04-21
AL,1984,268,1984-09-24,drsif,14612.519999999999,surf,1984-04-21
AL,1984,268,1984-09-24,nh4,15,surf,1984-04-21
AL,1984,268,1984-09-24,no3no2,0,surf,1984-04-21
AL,1984,268,1984-09-24,ph,7.7,surf,1984-04-21
AL,1984,289,1984-10-15,drsif,14854.199999999999,surf,1984-04-21
AL,1984,289,1984-10-15,nh4,54,surf,1984-04-21
AL,1984,289,1984-10-15,no3no2,2,surf,1984-04-21
AL,1984,289,1984-10-15,ph,7.51,surf,1984-04-21
AL,1984,313,1984-11-08,drsif,14573.759999999998,surf,1984-04-21
AL,1984,313,1984-11-08,nh4,13,surf,1984-04-21
AL,1984,313,1984-11-08,no3no2,46,surf,1984-04-21
AL,1984,313,1984-11-08,ph,7.66,surf,1984-04-21
AL,1985,120,1985-04-30,drsif,13714.199999999999,surf,1985-04-21
AL,1985,120,1985-04-30,nh4,12,surf,1985-04-21
AL,1985,120,1985-04-30,no3no2,63,surf,1985-04-21
AL,1985,120,1985-04-30,ph,7.42,surf,1985-04-21
AL,1985,136,1985-05-16,drsif,12248.16,surf,1985-04-21
AL,1985,136,1985-05-16,nh4,43,surf,1985-04-21
AL,1985,136,1985-05-16,no3no2,9,surf,1985-04-21
AL,1985,136,1985-05-16,ph,7.56,surf,1985-04-21
AL,1985,148,1985-05-28,drsif,12028.14,surf,1985-04-21
AL,1985,148,1985-05-28,nh4,52.5,surf,1985-04-21
AL,1985,148,1985-05-28,no3no2,5.5,surf,1985-04-21
AL,1985,148,1985-05-28,ph,7.91,surf,1985-04-21
AL,1985,162,1985-06-11,drsif,11821.8,surf,1985-04-21
AL,1985,162,1985-06-11,nh4,8,surf,1985-04-21
AL,1985,162,1985-06-11,no3no2,0,surf,1985-04-21
AL,1985,162,1985-06-11,ph,7.965,surf,1985-04-21
AL,1985,175,1985-06-24,drsif,11949.48,surf,1985-04-21
AL,1985,175,1985-06-24,nh4,60,surf,1985-04-21
AL,1985,175,1985-06-24,no3no2,6,surf,1985-04-21
AL,1985,175,1985-06-24,ph,7.65,surf,1985-04-21
AL,1985,192,1985-07-11,drsif,12130.739999999998,surf,1985-04-21
AL,1985,192,1985-07-11,nh4,24.5,surf,1985-04-21
AL,1985,192,1985-07-11,no3no2,1.5,surf,1985-04-21
AL,1985,192,1985-07-11,ph,8.094999999999999,surf,1985-04-21
AL,1985,204,1985-07-23,drsif,12374.699999999999,surf,1985-04-21
AL,1985,204,1985-07-23,nh4,7,surf,1985-04-21
AL,1985,204,1985-07-23,no3no2,0,surf,1985-04-21
AL,1985,204,1985-07-23,ph,8.29,surf,1985-04-21
AL,1985,219,1985-08-07,drsif,13013.099999999999,surf,1985-04-21
AL,1985,219,1985-08-07,nh4,12.5,surf,1985-04-21
AL,1985,219,1985-08-07,no3no2,0,surf,1985-04-21
AL,1985,219,1985-08-07,ph,8.469999999999999,surf,1985-04-21
AL,1985,231,1985-08-19,drsif,13896.599999999999,surf,1985-04-21
AL,1985,231,1985-08-19,nh4,58,surf,1985-04-21
AL,1985,231,1985-08-19,no3no2,1,surf,1985-04-21
AL,1985,231,1985-08-19,ph,7.48,surf,1985-04-21
AL,1985,255,1985-09-12,drsif,14384.519999999999,surf,1985-04-21
AL,1985,255,1985-09-12,nh4,38,surf,1985-04-21
AL,1985,255,1985-09-12,no3no2,0,surf,1985-04-21
AL,1985,255,1985-09-12,ph,7.77,surf,1985-04-21
AL,1985,273,1985-09-30,drsif,14856.48,surf,1985-04-21
AL,1985,273,1985-09-30,nh4,69,surf,1985-04-21
AL,1985,273,1985-09-30,no3no2,7,surf,1985-04-21
AL,1985,273,1985-09-30,ph,7.41,surf,1985-04-21
AL,1985,295,1985-10-22,drsif,13828.199999999999,surf,1985-04-21
AL,1985,295,1985-10-22,nh4,25,surf,1985-04-21
AL,1985,295,1985-10-22,no3no2,23,surf,1985-04-21
AL,1985,295,1985-10-22,ph,7.48,surf,1985-04-21
AL,1985,315,1985-11-11,drsif,13679.999999999998,surf,1985-04-21
AL,1985,315,1985-11-11,nh4,17,surf,1985-04-21
AL,1985,315,1985-11-11,no3no2,19,surf,1985-04-21
AL,1985,315,1985-11-11,ph,7.34,surf,1985-04-21
AL,1986,114,1986-04-24,doc,3.67,surf,1986-04-12
AL,1986,114,1986-04-24,drsif,14348.039999999999,surf,1986-04-12
AL,1986,114,1986-04-24,nh4,9,surf,1986-04-12
AL,1986,114,1986-04-24,no3no2,144,surf,1986-04-12
AL,1986,114,1986-04-24,ph,7.65,surf,1986-04-12
AL,1986,114,1986-04-24,totnf,370,surf,1986-04-12
AL,1986,114,1986-04-24,totnuf,423,surf,1986-04-12
AL,1986,114,1986-04-24,totpf,17,surf,1986-04-12
AL,1986,114,1986-04-24,totpuf,37,surf,1986-04-12
AL,1986,140,1986-05-20,doc,3.63,surf,1986-04-12
AL,1986,140,1986-05-20,drsif,12038.399999999998,surf,1986-04-12
AL,1986,140,1986-05-20,nh4,40.5,surf,1986-04-12
AL,1986,140,1986-05-20,no3no2,5,surf,1986-04-12
AL,1986,140,1986-05-20,ph,7.69,surf,1986-04-12
AL,1986,140,1986-05-20,totnf,388,surf,1986-04-12
AL,1986,140,1986-05-20,totnuf,395.5,surf,1986-04-12
AL,1986,140,1986-05-20,totpf,12,surf,1986-04-12
AL,1986,140,1986-05-20,totpuf,14.5,surf,1986-04-12
AL,1986,169,1986-06-18,doc,4.12,surf,1986-04-12
AL,1986,169,1986-06-18,drsif,11941.5,surf,1986-04-12
AL,1986,169,1986-06-18,nh4,17,surf,1986-04-12
AL,1986,169,1986-06-18,no3no2,0,surf,1986-04-12
AL,1986,169,1986-06-18,ph,8.055,surf,1986-04-12
AL,1986,169,1986-06-18,totnf,263.5,surf,1986-04-12
AL,1986,169,1986-06-18,totnuf,296.5,surf,1986-04-12
AL,1986,169,1986-06-18,totpf,8.5,surf,1986-04-12
AL,1986,169,1986-06-18,totpuf,12.5,surf,1986-04-12
AL,1986,197,1986-07-16,doc,4.31,surf,1986-04-12
AL,1986,197,1986-07-16,drsif,12001.919999999998,surf,1986-04-12
AL,1986,197,1986-07-16,nh4,7,surf,1986-04-12
AL,1986,197,1986-07-16,no3no2,0,surf,1986-04-12
AL,1986,197,1986-07-16,ph,8.25,surf,1986-04-12
AL,1986,197,1986-07-16,totnf,317,surf,1986-04-12
AL,1986,197,1986-07-16,totnuf,344,surf,1986-04-12
AL,1986,197,1986-07-16,totpf,4,surf,1986-04-12
AL,1986,197,1986-07-16,totpuf,10,surf,1986-04-12
AL,1986,225,1986-08-13,doc,4.97,surf,1986-04-12
AL,1986,225,1986-08-13,drsif,12631.199999999999,surf,1986-04-12
AL,1986,225,1986-08-13,nh4,7,surf,1986-04-12
AL,1986,225,1986-08-13,no3no2,0,surf,1986-04-12
AL,1986,225,1986-08-13,ph,8.375,surf,1986-04-12
AL,1986,225,1986-08-13,totnf,301.5,surf,1986-04-12
AL,1986,225,1986-08-13,totnuf,398.5,surf,1986-04-12
AL,1986,225,1986-08-13,totpf,7.5,surf,1986-04-12
AL,1986,225,1986-08-13,totpuf,17.5,surf,1986-04-12
AL,1986,253,1986-09-10,doc,4.805,surf,1986-04-12
AL,1986,253,1986-09-10,drsif,13984.379999999997,surf,1986-04-12
AL,1986,253,1986-09-10,nh4,30,surf,1986-04-12
AL,1986,253,1986-09-10,no3no2,4.5,surf,1986-04-12
AL,1986,253,1986-09-10,ph,7.665,surf,1986-04-12
AL,1986,253,1986-09-10,totnf,308.5,surf,1986-04-12
AL,1986,253,1986-09-10,totnuf,425,surf,1986-04-12
AL,1986,253,1986-09-10,totpf,6,surf,1986-04-12
AL,1986,253,1986-09-10,totpuf,19.5,surf,1986-04-12
AL,1986,282,1986-10-09,doc,5.05,surf,1986-04-12
AL,1986,282,1986-10-09,drsif,14715.119999999999,surf,1986-04-12
AL,1986,282,1986-10-09,nh4,19,surf,1986-04-12
AL,1986,282,1986-10-09,no3no2,5,surf,1986-04-12
AL,1986,282,1986-10-09,ph,7.76,surf,1986-04-12
AL,1986,282,1986-10-09,totnf,330,surf,1986-04-12
AL,1986,282,1986-10-09,totnuf,571,surf,1986-04-12
AL,1986,282,1986-10-09,totpf,12,surf,1986-04-12
AL,1986,282,1986-10-09,totpuf,29,surf,1986-04-12
AL,1986,307,1986-11-03,doc,5.04,surf,1986-04-12
AL,1986,307,1986-11-03,drsif,14446.079999999998,surf,1986-04-12
AL,1986,307,1986-11-03,nh4,12,surf,1986-04-12
AL,1986,307,1986-11-03,no3no2,6,surf,1986-04-12
AL,1986,307,1986-11-03,ph,7.71,surf,1986-04-12
AL,1986,307,1986-11-03,totnf,297,surf,1986-04-12
AL,1986,307,1986-11-03,totnuf,505,surf,1986-04-12
AL,1986,307,1986-11-03,totpf,9,surf,1986-04-12
AL,1986,307,1986-11-03,totpuf,32,surf,1986-04-12
AL,1987,105,1987-04-15,doc,3.34,surf,1987-04-10
AL,1987,105,1987-04-15,drsif,15752.519999999999,surf,1987-04-10
AL,1987,105,1987-04-15,nh4,66,surf,1987-04-10
AL,1987,105,1987-04-15,no3no2,150,surf,1987-04-10
AL,1987,105,1987-04-15,ph,7.28,surf,1987-04-10
AL,1987,105,1987-04-15,totnf,323,surf,1987-04-10
AL,1987,105,1987-04-15,totnuf,389,surf,1987-04-10
AL,1987,105,1987-04-15,totpf,19,surf,1987-04-10
AL,1987,105,1987-04-15,totpuf,29,surf,1987-04-10
AL,1987,138,1987-05-18,doc,3.93,surf,1987-04-10
AL,1987,138,1987-05-18,drsif,13392.72,surf,1987-04-10
AL,1987,138,1987-05-18,nh4,69,surf,1987-04-10
AL,1987,138,1987-05-18,no3no2,25,surf,1987-04-10
AL,1987,138,1987-05-18,ph,7.77,surf,1987-04-10
AL,1987,138,1987-05-18,totnf,210,surf,1987-04-10
AL,1987,138,1987-05-18,totnuf,286,surf,1987-04-10
AL,1987,138,1987-05-18,totpf,8,surf,1987-04-10
AL,1987,138,1987-05-18,totpuf,29,surf,1987-04-10
AL,1987,162,1987-06-11,doc,3.86,surf,1987-04-10
AL,1987,162,1987-06-11,drsif,11420.519999999999,surf,1987-04-10
AL,1987,162,1987-06-11,nh4,63,surf,1987-04-10
AL,1987,162,1987-06-11,no3no2,0,surf,1987-04-10
AL,1987,162,1987-06-11,ph,8.15,surf,1987-04-10
AL,1987,162,1987-06-11,totnf,228,surf,1987-04-10
AL,1987,162,1987-06-11,totnuf,243,surf,1987-04-10
AL,1987,162,1987-06-11,totpf,7,surf,1987-04-10
AL,1987,162,1987-06-11,totpuf,13,surf,1987-04-10
AL,1987,194,1987-07-13,doc,4.12,surf,1987-04-10
AL,1987,194,1987-07-13,drsif,11593.8,surf,1987-04-10
AL,1987,194,1987-07-13,nh4,63,surf,1987-04-10
AL,1987,194,1987-07-13,no3no2,9,surf,1987-04-10
AL,1987,194,1987-07-13,ph,8.71,surf,1987-04-10
AL,1987,194,1987-07-13,totnf,233,surf,1987-04-10
AL,1987,194,1987-07-13,totnuf,359,surf,1987-04-10
AL,1987,194,1987-07-13,totpf,4,surf,1987-04-10
AL,1987,194,1987-07-13,totpuf,12,surf,1987-04-10
AL,1987,225,1987-08-13,doc,4.8,surf,1987-04-10
AL,1987,225,1987-08-13,drsif,13131.66,surf,1987-04-10
AL,1987,225,1987-08-13,nh4,13,surf,1987-04-10
AL,1987,225,1987-08-13,no3no2,1.5,surf,1987-04-10
AL,1987,225,1987-08-13,ph,9.06,surf,1987-04-10
AL,1987,225,1987-08-13,totnf,260,surf,1987-04-10
AL,1987,225,1987-08-13,totnuf,415,surf,1987-04-10
AL,1987,225,1987-08-13,totpf,4.5,surf,1987-04-10
AL,1987,225,1987-08-13,totpuf,16.5,surf,1987-04-10
AL,1987,253,1987-09-10,doc,4.84,surf,1987-04-10
AL,1987,253,1987-09-10,drsif,14509.919999999998,surf,1987-04-10
AL,1987,253,1987-09-10,nh4,73,surf,1987-04-10
AL,1987,253,1987-09-10,no3no2,0,surf,1987-04-10
AL,1987,253,1987-09-10,ph,8.73,surf,1987-04-10
AL,1987,253,1987-09-10,totnf,314,surf,1987-04-10
AL,1987,253,1987-09-10,totnuf,492,surf,1987-04-10
AL,1987,253,1987-09-10,totpf,7,surf,1987-04-10
AL,1987,253,1987-09-10,totpuf,21,surf,1987-04-10
AL,1987,278,1987-10-05,doc,4.46,surf,1987-04-10
AL,1987,278,1987-10-05,drsif,15517.679999999998,surf,1987-04-10
AL,1987,278,1987-10-05,nh4,76.5,surf,1987-04-10
AL,1987,278,1987-10-05,no3no2,7,surf,1987-04-10
AL,1987,278,1987-10-05,ph,7.785,surf,1987-04-10
AL,1987,278,1987-10-05,totnf,563.5,surf,1987-04-10
AL,1987,278,1987-10-05,totnuf,337.5,surf,1987-04-10
AL,1987,278,1987-10-05,totpf,24,surf,1987-04-10
AL,1987,278,1987-10-05,totpuf,5.5,surf,1987-04-10
AL,1987,309,1987-11-05,doc,4.13,surf,1987-04-10
AL,1987,309,1987-11-05,drsif,15175.679999999998,surf,1987-04-10
AL,1987,309,1987-11-05,nh4,26,surf,1987-04-10
AL,1987,309,1987-11-05,no3no2,47,surf,1987-04-10
AL,1987,309,1987-11-05,ph,7.53,surf,1987-04-10
AL,1987,309,1987-11-05,totnf,286,surf,1987-04-10
AL,1987,309,1987-11-05,totnuf,351,surf,1987-04-10
AL,1987,309,1987-11-05,totpf,6,surf,1987-04-10
AL,1987,309,1987-11-05,totpuf,17,surf,1987-04-10
AL,1988,117,1988-04-26,doc,3.23,surf,1988-04-12
AL,1988,117,1988-04-26,drsif,15203.039999999999,surf,1988-04-12
AL,1988,117,1988-04-26,nh4,10,surf,1988-04-12
AL,1988,117,1988-04-26,no3no2,71,surf,1988-04-12
AL,1988,117,1988-04-26,ph,7.58,surf,1988-04-12
AL,1988,117,1988-04-26,totnf,487,surf,1988-04-12
AL,1988,117,1988-04-26,totnuf,620,surf,1988-04-12
AL,1988,117,1988-04-26,totpf,16,surf,1988-04-12
AL,1988,117,1988-04-26,totpuf,29,surf,1988-04-12
AL,1988,146,1988-05-25,doc,3.565,surf,1988-04-12
AL,1988,146,1988-05-25,drsif,11954.039999999999,surf,1988-04-12
AL,1988,146,1988-05-25,nh4,42,surf,1988-04-12
AL,1988,146,1988-05-25,no3no2,2,surf,1988-04-12
AL,1988,146,1988-05-25,ph,7.970000000000001,surf,1988-04-12
AL,1988,146,1988-05-25,totnf,436.5,surf,1988-04-12
AL,1988,146,1988-05-25,totnuf,319,surf,1988-04-12
AL,1988,146,1988-05-25,totpf,19,surf,1988-04-12
AL,1988,146,1988-05-25,totpuf,8,surf,1988-04-12
AL,1988,172,1988-06-20,doc,4.07,surf,1988-04-12
AL,1988,172,1988-06-20,drsif,11826.359999999999,surf,1988-04-12
AL,1988,172,1988-06-20,nh4,44,surf,1988-04-12
AL,1988,172,1988-06-20,no3no2,5,surf,1988-04-12
AL,1988,172,1988-06-20,ph,8.24,surf,1988-04-12
AL,1988,172,1988-06-20,totnf,414,surf,1988-04-12
AL,1988,172,1988-06-20,totnuf,244,surf,1988-04-12
AL,1988,172,1988-06-20,totpf,7,surf,1988-04-12
AL,1988,172,1988-06-20,totpuf,6,surf,1988-04-12
AL,1988,201,1988-07-19,doc,4.04,surf,1988-04-12
AL,1988,201,1988-07-19,drsif,12362.159999999998,surf,1988-04-12
AL,1988,201,1988-07-19,nh4,71,surf,1988-04-12
AL,1988,201,1988-07-19,no3no2,0,surf,1988-04-12
AL,1988,201,1988-07-19,ph,8.66,surf,1988-04-12
AL,1988,201,1988-07-19,totnf,220,surf,1988-04-12
AL,1988,201,1988-07-19,totnuf,245,surf,1988-04-12
AL,1988,201,1988-07-19,totpf,0,surf,1988-04-12
AL,1988,201,1988-07-19,totpuf,6,surf,1988-04-12
AL,1988,231,1988-08-18,doc,4.62,surf,1988-04-12
AL,1988,231,1988-08-18,drsif,13873.8,surf,1988-04-12
AL,1988,231,1988-08-18,nh4,160,surf,1988-04-12
AL,1988,231,1988-08-18,no3no2,0,surf,1988-04-12
AL,1988,231,1988-08-18,ph,8.74,surf,1988-04-12
AL,1988,231,1988-08-18,totnf,381,surf,1988-04-12
AL,1988,231,1988-08-18,totnuf,394,surf,1988-04-12
AL,1988,231,1988-08-18,totpf,11,surf,1988-04-12
AL,1988,231,1988-08-18,totpuf,14,surf,1988-04-12
AL,1988,257,1988-09-13,doc,4.695,surf,1988-04-12
AL,1988,257,1988-09-13,drsif,15771.899999999998,surf,1988-04-12
AL,1988,257,1988-09-13,nh4,22,surf,1988-04-12
AL,1988,257,1988-09-13,no3no2,0,surf,1988-04-12
AL,1988,257,1988-09-13,ph,7.895,surf,1988-04-12
AL,1988,257,1988-09-13,totnf,314.5,surf,1988-04-12
AL,1988,257,1988-09-13,totnuf,572,surf,1988-04-12
AL,1988,257,1988-09-13,totpf,7.5,surf,1988-04-12
AL,1988,257,1988-09-13,totpuf,28,surf,1988-04-12
AL,1988,286,1988-10-12,doc,4.55,surf,1988-04-12
AL,1988,286,1988-10-12,drsif,16242.72,surf,1988-04-12
AL,1988,286,1988-10-12,nh4,108,surf,1988-04-12
AL,1988,286,1988-10-12,no3no2,13,surf,1988-04-12
AL,1988,286,1988-10-12,ph,7.61,surf,1988-04-12
AL,1988,286,1988-10-12,totnf,380,surf,1988-04-12
AL,1988,286,1988-10-12,totnuf,469,surf,1988-04-12
AL,1988,286,1988-10-12,totpf,8,surf,1988-04-12
AL,1988,286,1988-10-12,totpuf,23,surf,1988-04-12
AL,1988,307,1988-11-02,doc,4.56,surf,1988-04-12
AL,1988,307,1988-11-02,drsif,15887.039999999999,surf,1988-04-12
AL,1988,307,1988-11-02,nh4,28,surf,1988-04-12
AL,1988,307,1988-11-02,no3no2,62,surf,1988-04-12
AL,1988,307,1988-11-02,ph,7.61,surf,1988-04-12
AL,1988,307,1988-11-02,totnf,384,surf,1988-04-12
AL,1988,307,1988-11-02,totnuf,313,surf,1988-04-12
AL,1988,307,1988-11-02,totpf,24,surf,1988-04-12
AL,1988,307,1988-11-02,totpuf,14,surf,1988-04-12
AL,1989,121,1989-05-01,doc,3.81,surf,1989-04-26
AL,1989,121,1989-05-01,drsif,14329.8,surf,1989-04-26
AL,1989,121,1989-05-01,nh4,21,surf,1989-04-26
AL,1989,121,1989-05-01,no3no2,64,surf,1989-04-26
AL,1989,121,1989-05-01,ph,7.32,surf,1989-04-26
AL,1989,121,1989-05-01,totnf,286,surf,1989-04-26
AL,1989,121,1989-05-01,totnuf,450,surf,1989-04-26
AL,1989,121,1989-05-01,totpf,8,surf,1989-04-26
AL,1989,121,1989-05-01,totpuf,28,surf,1989-04-26
AL,1989,149,1989-05-29,doc,4.16,surf,1989-04-26
AL,1989,149,1989-05-29,drsif,12505.8,surf,1989-04-26
AL,1989,149,1989-05-29,nh4,73,surf,1989-04-26
AL,1989,149,1989-05-29,no3no2,7,surf,1989-04-26
AL,1989,149,1989-05-29,ph,7.79,surf,1989-04-26
AL,1989,149,1989-05-29,totnf,250,surf,1989-04-26
AL,1989,149,1989-05-29,totnuf,356,surf,1989-04-26
AL,1989,149,1989-05-29,totpf,5,surf,1989-04-26
AL,1989,149,1989-05-29,totpuf,15,surf,1989-04-26
AL,1989,179,1989-06-28,doc,4.355,surf,1989-04-26
